ques_id,language,ques,ansTitle,ansContent,translation,translation_title,ques_translation
8515,EN,Come by servicedesk,Come by servicedesk ,You can come to the service desk.   It is at the HG E 11 and the openingstimes are: 09:30-11:00 and 13:30-16:00,You can come to the service desk.   It is at the HG E 11 and the openingstimes are: 09:30-11:00 and 13:30-16:00,Come by servicedesk ,Come by servicedesk
8537,EN,Prepaid not loaded,Credit not loaded ,"The payment was stuck in the ""reservation"" stage, because you forgot to close the transaction with the ""close"" button.The payment is now completed and the money is available for printing.Please remember: always close the transaction window with the ""close"" button and wait until the ETH account summary is fully displayed after a payment.","The payment was stuck in the ""reservation"" stage, because you forgot to close the transaction with the ""close"" button.The payment is now completed and the money is available for printing.Please remember: always close the transaction window with the ""close"" button and wait until the ETH account summary is fully displayed after a payment.",Credit not loaded ,Prepaid not loaded
8561,EN,Password forgotten ,Password forgotten ,Unfortunately we are not able to send your new password by email or by phone. You can pick up your new password at our desk at HG E 11 (main building) or we send it to your registred address. In case of sending the password by post please give us:your birthdateyour addressIf you want to pick up your passwort we have open from 9.30 to 11 am and from 1.30 to 4 pm. Take the student/ETH card with you.,Unfortunately we are not able to send your new password by email or by phone. You can pick up your new password at our desk at HG E 11 (main building) or we send it to your registred address. In case of sending the password by post please give us:your birthdateyour addressIf you want to pick up your passwort we have open from 9.30 to 11 am and from 1.30 to 4 pm. Take the student/ETH card with you.,Password forgotten ,Password forgotten 
8518,EN,Password on the way,Password on the way ,Your password is on the way. Please note that this password is only good for login at  password.ethz.chwhere you should change it immediately.,Your password is on the way. Please note that this password is only good for login at  password.ethz.chwhere you should change it immediately.,Password on the way ,Password on the way
8565,EN,login for IDES network drive does not work,login for IDES network drive does not work ,Your password was seeked on your computer instead on our server. Please choose the field 'another Account' and type in your username with <username>. After entering your password the connection of your IDES network drive should work.,Your password was seeked on your computer instead on our server. Please choose the field 'another Account' and type in your username with <username>. After entering your password the connection of your IDES network drive should work.,login for IDES network drive does not work ,login for IDES network drive does not work
8569,EN,None,VPP-Touch Printer ,"First you have to create a VPP PIN Code in the nethz-admin tool (www.password.ethz.ch) under ""My services"". Then you should be able to print.Further you can findhere.","First you have to create a VPP PIN Code in the nethz-admin tool (www.password.ethz.ch) under ""My services"". Then you should be able to print.Further you can findhere.",VPP-Touch Printer ,None
8544,EN,Thanks for feedback,Thanks for feedback ,Great news! Have many thanks for your feedback.,Great news! Have many thanks for your feedback.,Thanks for feedback ,Thanks for feedback
8571,EN,Matlab setup cancels,setup of matlab installation aborts ,"First, you have to map your IDES-folder to a network drive. After that you should copy the whole folder 2014a from your IDES Matlab folder to your local harddisk. Finally you are able to begin the matlab installation from your local harddisk. Please follow strictly the instalallaton guide you receive from IDES by e-mail. A description how to connect your IDES network drive is attached to this e-mail.","First, you have to map your IDES-folder to a network drive. After that you should copy the whole folder 2014a from your IDES Matlab folder to your local harddisk. Finally you are able to begin the matlab installation from your local harddisk. Please follow strictly the instalallaton guide you receive from IDES by e-mail. A description how to connect your IDES network drive is attached to this e-mail.",setup of matlab installation aborts ,Matlab setup cancels
8550,EN,How to access to eDoz?,Access to eDoz ,Only your professor or the rector's office can give you access to eDoz. The service desk has no access to this system.,Only your professor or the rector's office can give you access to eDoz. The service desk has no access to this system.,Access to eDoz ,How to access to eDoz?
8575,EN,Change phone number,Contact the responsible person for telephony support ,The telephony support such modify the phone number is decentralized organized in the departments since 2010. May I kindly ask you to contact  the person which is responsible for telephony. They have to enter first yournew phone number in the Netcenter. You can find the contact address here:www.netcenter.ethz.ch,The telephony support such modify the phone number is decentralized organized in the departments since 2010. May I kindly ask you to contact  the person which is responsible for telephony. They have to enter first yournew phone number in the Netcenter. You can find the contact address here:www.netcenter.ethz.ch,Contact the responsible person for telephony support ,Change phone number
8564,EN,How do I replace the certificate for the encrypted transfer of the image from the door camera ZUE?,Renew Certificate at the door camera at the ZUE ,"The ZUE may only enter MTEC members of their staff card. Guests must ring the bell. It has on each floor, a special telephone that is ringing and with which you can open the door. So you can see who has rung, the picture of the video camera for a minute can be viewed. Only persons who are registered in the video server can connect to. The connection is encrypted and can only be built in MTEC network. The certificate for the encryption via, must be renewed every two years.Zertifikat erneuern. -> alten request entfernen https://eingan-zue.ethz.ch -> anmlden als admin - setup - system options - https - Created Request -> Remove Create Certificate Request... -> eben dort    Country: CH    State or province: Zuerich    Locality: Zuerich    Organization: ETH Zuerich    Organization Unit: MEC    Common Name: eingang-zue.ethz.chRequest an folgende E-Mailadresse  senden mit der Bitte ein Zertifikat zu erstellen.ra@id.ethz.ch","The ZUE may only enter MTEC members of their staff card. Guests must ring the bell. It has on each floor, a special telephone that is ringing and with which you can open the door. So you can see who has rung, the picture of the video camera for a minute can be viewed. Only persons who are registered in the video server can connect to. The connection is encrypted and can only be built in MTEC network. The certificate for the encryption via, must be renewed every two years.Zertifikat erneuern. -> alten request entfernen https://eingan-zue.ethz.ch -> anmlden als admin - setup - system options - https - Created Request -> Remove Create Certificate Request... -> eben dort    Country: CH    State or province: Zuerich    Locality: Zuerich    Organization: ETH Zuerich    Organization Unit: MEC    Common Name: eingang-zue.ethz.chRequest an folgende E-Mailadresse  senden mit der Bitte ein Zertifikat zu erstellen.ra@id.ethz.ch",Renew Certificate at the door camera at the ZUE ,How do I replace the certificate for the encrypted transfer of the image from the door camera ZUE?
8567,EN,Password forgotten with cell phone,Password with cell phone ,Fortunately we have your cell phone registered so we are able to send your new password via short message. Please send us following information about you:your DoByour home addressyour cell phone numer (to compare)many thanks,Fortunately we have your cell phone registered so we are able to send your new password via short message. Please send us following information about you:your DoByour home addressyour cell phone numer (to compare)many thanks,Password with cell phone ,Password forgotten with cell phone
8572,EN,Office-address manually entered,Office-address is registered ,I’ve edited an office-address / telephone number for XXX acting on the instruction. The office-address will be published in application “People Search”https://www.bi.id.ethz.ch/personensuche/searchPersonenPre.donot later than tomorrow.,I’ve edited an office-address / telephone number for XXX acting on the instruction. The office-address will be published in application “People Search”https://www.bi.id.ethz.ch/personensuche/searchPersonenPre.donot later than tomorrow.,Office-address is registered ,Office-address manually entered
8548,EN,Change matriculation,Change Matriculation with scripts ,To Alfred Sohm or Markus Kreuzer  Can you please change the matriculation number listed below.  Many thanks and kind regards,To Alfred Sohm or Markus Kreuzer  Can you please change the matriculation number listed below.  Many thanks and kind regards,Change Matriculation with scripts ,Change matriculation
8578,EN,no credits for print,credits clearing ,Unfortunately your credit account has a negative balance. At password.ethz.ch you have to possibility to clear your balance by credit card (meine services -> prepaid) or you can clear by cash at one of our printing center (HG D 48.2 or HIL C 45).,Unfortunately your credit account has a negative balance. At password.ethz.ch you have to possibility to clear your balance by credit card (meine services -> prepaid) or you can clear by cash at one of our printing center (HG D 48.2 or HIL C 45).,credits clearing ,no credits for print
8551,EN,File / Folder deleted,Restore of files / folders ,Into the folder were the removed files/folders were make a right click in the empty area and select 'properties' and then 'previous versions'.  The folder is listed and sorted by date.Choose the appropriate date. Now you see the content of this folder at that time and you can copy your file whereever you  want.That way you are able to restore files/folders not longer deleted than seven days.,Into the folder were the removed files/folders were make a right click in the empty area and select 'properties' and then 'previous versions'.  The folder is listed and sorted by date.Choose the appropriate date. Now you see the content of this folder at that time and you can copy your file whereever you  want.That way you are able to restore files/folders not longer deleted than seven days.,Restore of files / folders ,File / Folder deleted
8553,EN,Certificate ready ,Certificate ready for download ,Your certificate is now created. You should receive a mail with the downloadinformations in a few minutes.,Your certificate is now created. You should receive a mail with the downloadinformations in a few minutes.,Certificate ready for download ,Certificate ready 
8555,EN,I want to set an Out of Office Assistant,How to use the Out of Office Assistant in Outlook ,"You can set up an office message in Outlook Web App. By logging on to the following website: www.mail.ethz.chPlease click on the top on the right side  on""Options"" and click on "" automatic replies"". Enable the option ""Automatically send answers"" and enter the desired time period and your Out of Office message.  Best regards","You can set up an office message in Outlook Web App. By logging on to the following website: www.mail.ethz.chPlease click on the top on the right side  on""Options"" and click on "" automatic replies"". Enable the option ""Automatically send answers"" and enter the desired time period and your Out of Office message.  Best regards",How to use the Out of Office Assistant in Outlook ,I want to set an Out of Office Assistant
8579,EN,I want to call to foreign countries ,"Connect through the ""111"" (Switchboard ETH) ","In the neighboring countries of Switzerland, USA, Canada and England its possiple to dial directly, in all other countries the call must be allowed to connect through the 111 Switchboard.","In the neighboring countries of Switzerland, USA, Canada and England its possiple to dial directly, in all other countries the call must be allowed to connect through the 111 Switchboard.","Connect through the ""111"" (Switchboard ETH) ",I want to call to foreign countries 
8871,EN,Would you like to customize the navigation links in SharePoint?,Would you like to customize the navigation links? ,"You can add a new link to the navigation by dragging an app from the Site Contents page directly to the navigation, or by clicking ""link"" and then entering the URL.Drag an app from Site Contents to the navigation.The easiest way to add a link is to drag an app from the Site Contents page to the navigation.Go to the Site Contents page: click ""Settings""/ ""Site contents""Click ""EDIT LINKS"" on the Quick Launch or the top navigation, depending on where you want to add a link.Click the app you want to add and drag it to where you want it on the navigation.(Refresh the page (F5) to see the animation again.)Click ""Save"".","You can add a new link to the navigation by dragging an app from the Site Contents page directly to the navigation, or by clicking ""link"" and then entering the URL.Drag an app from Site Contents to the navigation.The easiest way to add a link is to drag an app from the Site Contents page to the navigation.Go to the Site Contents page: click ""Settings""/ ""Site contents""Click ""EDIT LINKS"" on the Quick Launch or the top navigation, depending on where you want to add a link.Click the app you want to add and drag it to where you want it on the navigation.(Refresh the page (F5) to see the animation again.)Click ""Save"".",Would you like to customize the navigation links? ,Would you like to customize the navigation links in SharePoint?
8849,EN,How can I install the backup client?,Install backup client,Please install the backup client for your operating system as described on this website:www.id.ethz.ch/services/list/storage/dbr/install/windows_EN,Please install the backup client for your operating system as described on this website:www.id.ethz.ch/services/list/storage/dbr/install/windows_EN,Install backup client,How can I install the backup client?
8965,EN,Information NSG,,"You were contacted from Mr. XXX because your PC is infected with  malware. Please clean your machine and give us a feedback. If you need  help with this, please contact your ISG.In chase of security we have to block your access to the ETH network. We will open it again when the problem is fixed. ","You were contacted from Mr. XXX because your PC is infected with  malware. Please clean your machine and give us a feedback. If you need  help with this, please contact your ISG.In chase of security we have to block your access to the ETH network. We will open it again when the problem is fixed. ",,Information NSG
8965,EN,Information NSG,,"You were contacted from Mr. XXX because your VPN username and password may be abused by an other person. So you have to reset your password and check your PC for maleware. If you need help with this, please contact your ISG.In chase of security we have to block your access to the ETH network. We will open it again when the problem is fixed. ","You were contacted from Mr. XXX because your VPN username and password may be abused by an other person. So you have to reset your password and check your PC for maleware. If you need help with this, please contact your ISG.In chase of security we have to block your access to the ETH network. We will open it again when the problem is fixed. ",,Information NSG
8968,EN,How can I install software from IDES?,,"Please download first all software local  to your computer with """"Map network drive"""", the computer must be on the  ETH Network, if not please start the VPN Client before. Then start the installation from your computer.Here you will find the instructions:VPN:https://www1.ethz.ch/id/servicedesk/guide/vpn/index_ENMap network drive to IDES: https://www1.ethz.ch/id/servicedesk/guide/ides/ides_manualIf the password from IDES will not accepted, please go to the webpage from ides (http://www.ides.ethz.ch)  and login, go to """"Voreinstellungen"""" and click on """"Passwort ändern"""" and  set again your nethz-password and try again to map a network drive.","Please download first all software local  to your computer with """"Map network drive"""", the computer must be on the  ETH Network, if not please start the VPN Client before. Then start the installation from your computer.Here you will find the instructions:VPN:https://www1.ethz.ch/id/servicedesk/guide/vpn/index_ENMap network drive to IDES: https://www1.ethz.ch/id/servicedesk/guide/ides/ides_manualIf the password from IDES will not accepted, please go to the webpage from ides (http://www.ides.ethz.ch)  and login, go to """"Voreinstellungen"""" and click on """"Passwort ändern"""" and  set again your nethz-password and try again to map a network drive.",,How can I install software from IDES?
8974,EN,Come by servicedesk,Come by servicedesk ,You can come to the service desk. It is at the HG E 11 and the openingstimes are:09:30-11:00 13:30-16:00,You can come to the service desk. It is at the HG E 11 and the openingstimes are:09:30-11:00 13:30-16:00,Come by servicedesk ,Come by servicedesk
8977,EN,Prepaid not loaded,Credit not loaded ,"The payment was stuck in the ""reservation"" stage, because you forgot to close the transaction with the ""close"" button.The payment is now completed and the money is available for printing. Please remember: always close the transaction window with the ""close"" button and wait until the ETH account summary is fully displayed after a payment. ","The payment was stuck in the ""reservation"" stage, because you forgot to close the transaction with the ""close"" button.The payment is now completed and the money is available for printing. Please remember: always close the transaction window with the ""close"" button and wait until the ETH account summary is fully displayed after a payment. ",Credit not loaded ,Prepaid not loaded
8984,EN,login for IDES network drive does not work,login for IDES network drive does not work ,Your password was seeked on your computer instead on our server. Please choose the field 'another Account' and type in your username. After entering your password the connection of your IDES network drive should work. ,Your password was seeked on your computer instead on our server. Please choose the field 'another Account' and type in your username. After entering your password the connection of your IDES network drive should work. ,login for IDES network drive does not work ,login for IDES network drive does not work
9001,EN,Wi-Fi interference,WLAN disorder - other required information to clarify ,,,WLAN disorder - other required information to clarify ,Wi-Fi interference
8851,EN,The new employee has no telephone number.,None,None,None,None,The new employee has no telephone number.
9006,EN,How do I find my IT manager in the department?,Website Contacts Departments ,On this website you will find the contact personsin the departments of:Department Delegate (DID)mailto:did@ethz.ch,On this website you will find the contact personsin the departments of:Department Delegate (DID)mailto:did@ethz.ch,Website Contacts Departments ,How do I find my IT manager in the department?
9008,EN,Where do i find the CQ5 manual?,CQ5 Manual ,Here you can find the CQ5 editor manual:https://www.ethz.ch/content/associates/intranet/de/service/kommunikation/websites/cq5/cq5-manual.html,Here you can find the CQ5 editor manual:https://www.ethz.ch/content/associates/intranet/de/service/kommunikation/websites/cq5/cq5-manual.html,CQ5 Manual ,Where do i find the CQ5 manual?
9011,EN,How can i embedd publications in a CQ5 website?,Embed a publication in a CQ5 website ,"If you need help to embed a publication in to a CQ5 website, check the CQ5 manual:https://www.ethz.ch/intranet/en/service/communication/websites/cq5/cq5-manual/cq5-components/special-components/publications.html","If you need help to embed a publication in to a CQ5 website, check the CQ5 manual:https://www.ethz.ch/intranet/en/service/communication/websites/cq5/cq5-manual/cq5-components/special-components/publications.html",Embed a publication in a CQ5 website ,How can i embedd publications in a CQ5 website?
9012,EN,Mass E-mail,Mail list infomation ,"Here are the informations for your maillist:  Address:XXX@.ethz.ch Please send no attachments with this mail. This will interrupt the performance of our mailserver.Please write the subject for who this mail is (for example: all ETH members).The maillist is only valid for today, it will be deleted this night.Please copy the address of the list in BCC field to avoid abuse of the mailaddresses.","Here are the informations for your maillist:  Address:XXX@.ethz.ch Please send no attachments with this mail. This will interrupt the performance of our mailserver.Please write the subject for who this mail is (for example: all ETH members).The maillist is only valid for today, it will be deleted this night.Please copy the address of the list in BCC field to avoid abuse of the mailaddresses.",Mail list infomation ,Mass E-mail
9013,EN,I'm not able to login,Change password via admintool ,To change your password please login to www.password.ethz.chIf you are not able to login on this page please call the service desk: 044 632 77 77.,To change your password please login to www.password.ethz.chIf you are not able to login on this page please call the service desk: 044 632 77 77.,Change password via admintool ,I'm not able to login
9014,EN,Extend mailbox quota,Mailbox quota (10GB) ,We had extend your mailboxquota up to 10 GB.But we would recommend if you keep your mailbox as small as possible. Because mailclient can have performanceproblems if they have to deal with big mailboxes. Also every mail that is older than 30 days is automatically copied to our mailarchiv (http://mailarchiv.ethz.ch/). So you can access our old mails there and copy them to our mailbox if you need them. You can also find some more recommendations for cleaning up your mailbox onhttps://www1.ethz.ch/id/services/list/e_mail/empfehlungen_EN,We had extend your mailboxquota up to 10 GB.But we would recommend if you keep your mailbox as small as possible. Because mailclient can have performanceproblems if they have to deal with big mailboxes. Also every mail that is older than 30 days is automatically copied to our mailarchiv (http://mailarchiv.ethz.ch/). So you can access our old mails there and copy them to our mailbox if you need them. You can also find some more recommendations for cleaning up your mailbox onhttps://www1.ethz.ch/id/services/list/e_mail/empfehlungen_EN,Mailbox quota (10GB) ,Extend mailbox quota
9014,EN,Extend mailbox quota,Mailbox quota (5GB) ,I see that you are an employee of the ETH. I will extend your mailbox to 5 GB. It can take a few minutes unless you can see the change. ,I see that you are an employee of the ETH. I will extend your mailbox to 5 GB. It can take a few minutes unless you can see the change. ,Mailbox quota (5GB) ,Extend mailbox quota
9014,EN,Extend mailbox quota,Mailbox quota (1GB) ,Students normally have a 200 MB mailbox. But when you are working for a studentclub we can make an exception here. I've extend your mailbox to 1 GB. ,Students normally have a 200 MB mailbox. But when you are working for a studentclub we can make an exception here. I've extend your mailbox to 1 GB. ,Mailbox quota (1GB) ,Extend mailbox quota
9015,EN,Show mailheader,Show e-mail header ,"To open the mailheader (Outlook Web App) do the following steps: Double click on the mail to open it in a new windowIn the toolbar click on the icon ""Message Details""Mark and copy all the informations in the field ""Internet Mail Headers"" and send us this information","To open the mailheader (Outlook Web App) do the following steps: Double click on the mail to open it in a new windowIn the toolbar click on the icon ""Message Details""Mark and copy all the informations in the field ""Internet Mail Headers"" and send us this information",Show e-mail header ,Show mailheader
9016,EN,Mass E-mail granting,Informations for granting a maillist ,"We can create a maillist for you, but need a granting for that. And for getting this we need some more informations:    To who should this mail be sended?When should the mail be sended?What is the topic of the mail?What is the senderaddress?","We can create a maillist for you, but need a granting for that. And for getting this we need some more informations:    To who should this mail be sended?When should the mail be sended?What is the topic of the mail?What is the senderaddress?",Informations for granting a maillist ,Mass E-mail granting
9017,EN,Activate office manually,Manual office activation ,"To activate office manually the following steps are required:Run a Command promt as adminstratorUse the command ""cd"" to get in the folder in which office is installed c:\Programm files\Microsoft Office\Office14 (The path can variate)Now send the following commands:cscript OSPP.VBS /remhst (removes the activationserver)cscript OSPP.VBS /sethst:kms1.ethz.ch (sets the activationserver)cscript OSPP.VBS /act (starts the activation)After that the product should be activated and you should get confirmation.Please restart your office to finish the activation.","To activate office manually the following steps are required:Run a Command promt as adminstratorUse the command ""cd"" to get in the folder in which office is installed c:\Programm files\Microsoft Office\Office14 (The path can variate)Now send the following commands:cscript OSPP.VBS /remhst (removes the activationserver)cscript OSPP.VBS /sethst:kms1.ethz.ch (sets the activationserver)cscript OSPP.VBS /act (starts the activation)After that the product should be activated and you should get confirmation.Please restart your office to finish the activation.",Manual office activation ,Activate office manually
9018,EN,Forward to ISG,Forward to ISG ,Your Request has been forwarded to your responsible IT support group (ISG). Pleaes note that your request is now closed in our system.Please contact your ISG directly to get further information ISG Contact,Your Request has been forwarded to your responsible IT support group (ISG). Pleaes note that your request is now closed in our system.Please contact your ISG directly to get further information ISG Contact,Forward to ISG ,Forward to ISG
9019,EN,CSR sent wrong,CSR sent wrong ,The CSR was not submitted over the address ethz.ra@id.ethz.ch. Please sent the mail as descripted on our website:  https://www1.ethz.ch/id/services/list/ssl/index_EN,The CSR was not submitted over the address ethz.ra@id.ethz.ch. Please sent the mail as descripted on our website:  https://www1.ethz.ch/id/services/list/ssl/index_EN,CSR sent wrong ,CSR sent wrong
9020,EN,How can I edit my personal homepage?,How can I edit my personal homepage? ,You edit your personal homepage over our personal serverdrive. You can find the instructions for using this drive here: https://www1.ethz.ch/id/servicedesk/guide/home_dir/index_EN,You edit your personal homepage over our personal serverdrive. You can find the instructions for using this drive here: https://www1.ethz.ch/id/servicedesk/guide/home_dir/index_EN,How can I edit my personal homepage? ,How can I edit my personal homepage?
9021,EN,"Did you know that you can save your documents to Pdf, directly from SharePoint?","Did you know that you can save your documents to Pdf, directly from SharePoint? ","It's a bit hidden, but it's there.You need to use ""Document Preview"", which (by the  way) allows you to view and read entire document from within Document Library, or embed the file elsewhere within your SharePoint site. src=""""https://sharepoint.sp.ethz.ch/blog/Lists/Photos/070414_0956_SavetoPdf1.png"""" alt="""""""" height=""""214"""" width=""""356"""">     "" ","It's a bit hidden, but it's there.You need to use ""Document Preview"", which (by the  way) allows you to view and read entire document from within Document Library, or embed the file elsewhere within your SharePoint site. src=""""https://sharepoint.sp.ethz.ch/blog/Lists/Photos/070414_0956_SavetoPdf1.png"""" alt="""""""" height=""""214"""" width=""""356"""">     "" ","Did you know that you can save your documents to Pdf, directly from SharePoint? ","Did you know that you can save your documents to Pdf, directly from SharePoint?"
9026,EN,What is Breadcrumbs in SharePoint?,What is Breadcrumbs? ,"This post will be very short and is mainly to """"raise a flag"""".You have probably already noticed that breadcrumbs functionality is available in your SharePoint site: What is important for you to remember, is that it will also support you, when you are browsing through folders inside a document library: ","This post will be very short and is mainly to """"raise a flag"""".You have probably already noticed that breadcrumbs functionality is available in your SharePoint site: What is important for you to remember, is that it will also support you, when you are browsing through folders inside a document library: ",What is Breadcrumbs? ,What is Breadcrumbs in SharePoint?
9028,EN,Seamless sign-in in Firefox with SharePoint,Seamless sign-in in Firefox ,"Tired of providing your credentials over and over in Firefox? Fortunately Firefox has the slick ability to easily modify its configuration to use your credentials if you're already logged in to Windows with your domain account.Simply follow these steps:Open FirefoxIn the address bar type: about:config Firefox3.x and later requires you to agree that you will proceed with cautionAfter the config page loads, in the filter box type: network.automaticModify network.automatic-ntlm-auth.trusted-uris by double clicking the row and enter the url of your site, i.e. https://sharepoint.sp.ethz.ch/ (use commas to separate urls)","Tired of providing your credentials over and over in Firefox? Fortunately Firefox has the slick ability to easily modify its configuration to use your credentials if you're already logged in to Windows with your domain account.Simply follow these steps:Open FirefoxIn the address bar type: about:config Firefox3.x and later requires you to agree that you will proceed with cautionAfter the config page loads, in the filter box type: network.automaticModify network.automatic-ntlm-auth.trusted-uris by double clicking the row and enter the url of your site, i.e. https://sharepoint.sp.ethz.ch/ (use commas to separate urls)",Seamless sign-in in Firefox ,Seamless sign-in in Firefox with SharePoint
9029,EN,Would like to use a different view in SharePoint?,Would like to use a different view? ,"Have you ever wanted to hide column names in the Web Part presenting list contents? Or maybe need a nicer view, like Accordion?We have good news for you - they are freshly deployed to the SharePoint 2013 farm. Prerequisites: You need to have rights to edit Pages, in order to use this procedure. To use them, simply select the Library or List Web Part (click in the area of the Web Part) and wait for the Library or List to appear in a ribbon. Click on the Library or List tab respectively and in the ""Manage Styles"" section, select the ""Hide Column Names"" check box. And voila! Page refreshes and the column names are not displayed any more:The use of view styles is equally simple- find ""Choose Style""drop-down in ""Manage Styles"" section and select the style you want to use: ","Have you ever wanted to hide column names in the Web Part presenting list contents? Or maybe need a nicer view, like Accordion?We have good news for you - they are freshly deployed to the SharePoint 2013 farm. Prerequisites: You need to have rights to edit Pages, in order to use this procedure. To use them, simply select the Library or List Web Part (click in the area of the Web Part) and wait for the Library or List to appear in a ribbon. Click on the Library or List tab respectively and in the ""Manage Styles"" section, select the ""Hide Column Names"" check box. And voila! Page refreshes and the column names are not displayed any more:The use of view styles is equally simple- find ""Choose Style""drop-down in ""Manage Styles"" section and select the style you want to use: ",Would like to use a different view? ,Would like to use a different view in SharePoint?
